_id,_masterCharacterId,_name,_type,_masterSkillCenterId,_masterSkillId,_rarity,_hp,_smile,_cool,_pure,_illustId,_evolveIllustId,_masterCardLevelId,_uniqueBackgroundFileName,_evolveUniqueBackgroundFileName,_getCategory,_masterCardSysVoiceId,_albumUnitMId,_priority,_masterReleaseLabelId
10010001,1001,發起人,1,100001,10010001,1,2,3767,2968,3265,01001_0001_00,01001_0001_01,1,,,1,0,0,1,1
10010002,1001,勇往直前！,2,200001,10010002,1,2,3102,2899,3999,01001_0002_00,01001_0002_01,1,,,1,0,0,1,1
10010003,1001,積極樂觀,3,300001,10010003,1,2,3235,3774,2991,01001_0003_00,01001_0003_01,1,,,1,0,0,1,1
10010004,1001,精神最重要,2,200001,10010004,1,2,3005,3085,3910,01001_0004_00,01001_0004_01,1,,,1,0,0,1,1
10010005,1001,練習準備！,3,300001,10010005,1,2,3130,3634,3236,01001_0005_00,01001_0005_01,1,,,1,0,0,1,1
10010006,1001,一起唱歌吧,1,100001,10010006,1,2,3600,3113,3287,01001_0006_00,01001_0006_01,1,,,1,0,0,1,1
10010007,1001,晚安笑容,2,200001,10010007,1,2,3224,3035,3741,01001_0007_00,01001_0007_01,1,,,1,0,0,1,1
10010008,1001,外出時的笑容,1,100001,10010008,1,2,3720,3337,2943,01001_0008_00,01001_0008_01,1,,,1,0,0,1,1
10010009,1001,要扣殺囉,3,300001,10010009,1,2,2992,4077,2931,01001_0009_00,01001_0009_01,1,,,1,0,0,1,1
10010010,1001,笑容全開！,1,100002,10010010,2,3,4599,3417,3484,01001_0010_00,01001_0010_01,2,b_card_0001,b_card_0074,1,0,0,1,1
10010011,1001,火焰之心,2,200002,10010011,2,3,3344,3471,4685,01001_0011_00,01001_0011_01,2,b_adv_0022,b_card_0031,1,0,0,1,1
10010012,1001,要把你吃掉囉？,3,300002,10010012,2,3,3665,4185,3650,01001_0012_00,01001_0012_01,2,b_card_0002,b_card_0039,1,0,0,1,1
10010013,1001,盛開的櫻花,1,100005,10010013,3,4,4769,3962,4269,01001_0013_00,01001_0013_01,3,,,1,10010013,0,1,1
10010014,1001,米飯水果！？,3,300003,10010014,3,4,4263,4693,4044,01001_0014_00,01001_0014_01,3,,,4,0,2051,1,1
10020001,1002,四分之一血統,1,100001,10020001,1,2,3867,3108,3025,01002_0001_00,01002_0001_01,1,,,1,0,0,1,1
10020002,1002,頭腦清晰,2,200001,10020002,1,2,3196,2943,3861,01002_0002_00,01002_0002_01,1,,,1,0,0,1,1
10020003,1002,大家的人氣王,3,300001,10020003,1,2,2962,3805,3233,01002_0003_00,01002_0003_01,1,,,1,0,0,1,1
10020004,1002,運動神經出眾,2,200001,10020004,1,2,3166,2807,4027,01002_0004_00,01002_0004_01,1,,,1,0,0,1,1
10020005,1002,責任感,3,300001,10020005,1,2,3063,3608,3329,01002_0005_00,01002_0005_01,1,,,1,0,0,1,1
10020006,1002,學生會長,1,100001,10020006,1,2,3926,2840,3234,01002_0006_00,01002_0006_01,1,,,1,0,0,1,1
10020007,1002,入睡之前,2,200001,10020007,1,2,3083,3008,3909,01002_0007_00,01002_0007_01,1,,,1,0,0,1,1
10020008,1002,要出門囉！,1,100001,10020008,1,2,4015,2866,3119,01002_0008_00,01002_0008_01,1,,,1,0,0,1,1
