_id,_name,_nameRuby,_detailText,_category,_schoolGrade,_charaCategory,_masterGroupId,_spriteName,_displayOrder,_height,_bloodType,_birsday,_voiceActor,_imageColor,_imageColorDark,_nameRichtextGacha,_masterReleaseLabelId
1001,高坂穗乃果,こうさかほのか,μ'sの發起人。いつも笑容でとにかく活力が優點。多少の困難があっても天生の超ポジティブシンキングで次々と突破していく。,1,2,1,101,1001,1001,157cm,O型,8月3日,新田恵海,FF9210,FF9210,<size=100>高<size=80>坂 <size=100>穗<size=80>乃果,1
1002,絢瀨繪里,あやせえり,ロシア人の混血兒。頭腦清晰、運動神經出眾、何をやらせてもそつなくこなす。學校でも人氣抜群で、責任感が強く、學生會長を務めている。,1,3,1,103,1002,1002,162cm,B型,10月21日,南條愛乃,47C3FB,47C3FB,<size=100>絢<size=80>瀨 <size=100>繪<size=80>里,1
1003,南小鳥,みなみことり,溫和と柔和性格で、學業もそつなくこなす優等生。溫和とはしているが芯は強く、物おじしない。穗乃果の一番の朋友。,1,2,1,101,1003,1003,159cm,O型,9月12日,内田 彩,BAB3B3,BAB3B3,<size=100>南<size=80> <size=100>こ<size=80>とり,1
1004,園田海未,そのだうみ,凜とした氣質を漂わせる大和なでしこ。小時候の頃から弓道で鍛えられ、禮儀も完美な女孩子。悪事や怠けるといったことが大嫌い。穗乃果、ことりとは青梅竹馬。,1,2,1,102,1004,1004,159cm,A型,3月15日,三森すずこ,226BF1,226BF1,<size=100>園<size=80>田 <size=100>海<size=80>未,1
1005,星空凜,ほしぞらりん,體育會系でいつも明るく、くよくよ惱むより身體を動かすタイプ。體育會系だけあって面倒見はよく、いつも青梅竹馬の花陽の面倒を見ている。,1,1,1,102,1005,1005,155cm,A型,11月1日,飯田里穂,FCD500,CEAE00,<size=100>星<size=80>空 <size=100>凜<size=80>,1
1006,西木野真姬,にしきのまき,高飛車でプライドが高く、本心を見せるのが苦手。天生の度胸で上級生にも強氣で渡り合う。實はさみしがりな一面も。,1,1,1,103,1006,1006,161cm,AB型,4月19日,Pile,F14747,F14747,<size=100>西<size=80>木野 <size=100>真<size=80>姬,1
1007,東條希,とうじょうのぞみ,マイペースな性格で、関西弁まじりの独特の口調で話す。おおらかさがあり全成員中、實は精神年齢は一番上と思わせる所も。,1,3,1,102,1007,1007,159cm,O型,6月9日,楠田亜衣奈,C355E8,C355E8,<size=100>東<size=80>條 <size=100>希<size=80>,1
1008,小泉花陽,こいずみはなよ,クラスでもあまり目立たない、おとなしい女孩子。自信がなく、何をやろうとしても諦めてしまいがち。白いご飯が大好物。,1,1,1,101,1008,1008,156cm,B型,1月17日,久保ユリカ,44CF72,44CF72,<size=100>小<size=80>泉 <size=100>花<size=80>陽,1
1009,矢澤妮可,やざわにこ,アイドルを目指して日夜励んでいる、正真正銘のアイドルオタク。「にっこにっこにー」が合言葉。,1,3,1,103,1009,1009,154cm,A型,7月22日,徳井青空,FF548F,FF548F,<size=100>矢<size=80>澤 <size=100>に<size=80>こ,1
2001,高海千歌,たかみちか,Aqoursの發起人。人懐っこく負けず嫌い。天生の明るさと強引さで周囲を次々に巻き込んでいく。,2,2,1,201,2001,2001,157cm,B型,8月1日,伊波杏樹,FF700F,FF700F,<size=100>高<size=80>海 <size=100>千<size=80>歌,1
